layer,relation_group_id,accuracy,macro_f1,nb_test_examples,nb_train_examples,tn,fp,fn,tp
27.0,corporate-products-employment,0.7609375,0.7595278966795105,640.0,3516.0,219.0,101.0,52.0,268.0
0.0,religion,0.5336538461538461,0.5062526001517265,208.0,3948.0,31.0,73.0,24.0,80.0
1.0,religion,0.5384615384615384,0.5363611033714126,208.0,3948.0,49.0,55.0,41.0,63.0
2.0,religion,0.6538461538461539,0.6537180910099889,208.0,3948.0,70.0,34.0,38.0,66.0
3.0,religion,0.5625,0.45893719806763283,208.0,3948.0,104.0,0.0,91.0,13.0
4.0,religion,0.5288461538461539,0.40131578947368424,208.0,3948.0,103.0,1.0,97.0,7.0
5.0,religion,0.6346153846153846,0.6014521984671238,208.0,3948.0,96.0,8.0,68.0,36.0
6.0,religion,0.625,0.5884322678843227,208.0,3948.0,96.0,8.0,70.0,34.0
7.0,religion,0.5432692307692307,0.5115560499320233,208.0,3948.0,30.0,74.0,21.0,83.0
8.0,religion,0.5865384615384616,0.5266222081083942,208.0,3948.0,24.0,80.0,6.0,98.0
9.0,religion,0.5480769230769231,0.4439767944488682,208.0,3948.0,12.0,92.0,2.0,102.0
10.0,religion,0.6442307692307693,0.63194643711143,208.0,3948.0,48.0,56.0,18.0,86.0
11.0,religion,0.5817307692307693,0.5192220834772443,208.0,3948.0,98.0,6.0,81.0,23.0
12.0,religion,0.5673076923076923,0.47297297297297297,208.0,3948.0,103.0,1.0,89.0,15.0
13.0,religion,0.6923076923076923,0.6912801484230056,208.0,3948.0,66.0,38.0,26.0,78.0
14.0,religion,0.6682692307692307,0.6519799219185722,208.0,3948.0,92.0,12.0,57.0,47.0
15.0,religion,0.7211538461538461,0.7160075329566855,208.0,3948.0,89.0,15.0,43.0,61.0
16.0,religion,0.75,0.7466266866566716,208.0,3948.0,90.0,14.0,38.0,66.0
17.0,religion,0.7163461538461539,0.7121883721475644,208.0,3948.0,62.0,42.0,17.0,87.0
18.0,religion,0.7019230769230769,0.6927182615325963,208.0,3948.0,91.0,13.0,49.0,55.0
19.0,religion,0.8076923076923077,0.8076211616722161,208.0,3948.0,86.0,18.0,22.0,82.0
20.0,religion,0.7884615384615384,0.784557438794727,208.0,3948.0,68.0,36.0,8.0,96.0
21.0,religion,0.8317307692307693,0.8305991855730075,208.0,3948.0,78.0,26.0,9.0,95.0
22.0,religion,0.7980769230769231,0.795352323838081,208.0,3948.0,71.0,33.0,9.0,95.0
23.0,religion,0.6634615384615384,0.6428220979295456,208.0,3948.0,94.0,10.0,60.0,44.0
24.0,religion,0.6442307692307693,0.6070261437908496,208.0,3948.0,35.0,69.0,5.0,99.0
25.0,religion,0.7548076923076923,0.7427677683745969,208.0,3948.0,101.0,3.0,48.0,56.0
26.0,religion,0.7259615384615384,0.7245289156346569,208.0,3948.0,83.0,21.0,36.0,68.0
27.0,religion,0.7980769230769231,0.7957924263674614,208.0,3948.0,94.0,10.0,32.0,72.0
0.0,media,0.5,0.3333333333333333,178.0,3978.0,0.0,89.0,0.0,89.0
1.0,media,0.6573033707865169,0.6524661524181417,178.0,3978.0,48.0,41.0,20.0,69.0
2.0,media,0.5,0.3333333333333333,178.0,3978.0,89.0,0.0,89.0,0.0
3.0,media,0.5393258426966292,0.4227179243790539,178.0,3978.0,88.0,1.0,81.0,8.0
4.0,media,0.6404494382022472,0.6268343815513626,178.0,3978.0,74.0,15.0,49.0,40.0
5.0,media,0.5112359550561798,0.4412412051235793,178.0,3978.0,14.0,75.0,12.0,77.0
6.0,media,0.5561797752808989,0.5197896390397159,178.0,3978.0,74.0,15.0,64.0,25.0
7.0,media,0.5730337078651685,0.49492234169653526,178.0,3978.0,86.0,3.0,73.0,16.0
8.0,media,0.5674157303370787,0.4799468791500664,178.0,3978.0,87.0,2.0,75.0,14.0
9.0,media,0.5224719101123596,0.4540862348908533,178.0,3978.0,78.0,11.0,74.0,15.0
10.0,media,0.6179775280898876,0.5690072639225181,178.0,3978.0,85.0,4.0,64.0,25.0
11.0,media,0.550561797752809,0.5266586890041218,178.0,3978.0,69.0,20.0,60.0,29.0
12.0,media,0.6235955056179775,0.6232982722132727,178.0,3978.0,58.0,31.0,36.0,53.0
13.0,media,0.6235955056179775,0.5838654523884295,178.0,3978.0,83.0,6.0,61.0,28.0
14.0,media,0.6797752808988764,0.6760846662197108,178.0,3978.0,51.0,38.0,19.0,70.0
15.0,media,0.7696629213483146,0.769481032249913,178.0,3978.0,66.0,23.0,18.0,71.0
16.0,media,0.7471910112359551,0.7370235398404412,178.0,3978.0,84.0,5.0,40.0,49.0
17.0,media,0.8089887640449438,0.8088922571681192,178.0,3978.0,70.0,19.0,15.0,74.0
18.0,media,0.8314606741573034,0.8293057153816648,178.0,3978.0,84.0,5.0,25.0,64.0
19.0,media,0.8595505617977528,0.8594396538109226,178.0,3978.0,79.0,10.0,15.0,74.0
20.0,media,0.7640449438202247,0.7539818349348426,178.0,3978.0,50.0,39.0,3.0,86.0
21.0,media,0.8932584269662921,0.8926860225289545,178.0,3978.0,73.0,16.0,3.0,86.0
22.0,media,0.8033707865168539,0.8005953333546715,178.0,3978.0,82.0,7.0,28.0,61.0
23.0,media,0.6629213483146067,0.6287541713014461,178.0,3978.0,86.0,3.0,57.0,32.0
24.0,media,0.5337078651685393,0.40415406331921755,178.0,3978.0,6.0,83.0,0.0,89.0
