relation_group_id,accuracy,macro_f1,nb_test_examples,tn,fp,fn,tp,recall_pk,recall_ck,pct_predicted_ck,mean_conf_ck,std_conf_ck,mean_conf_pk,std_conf_pk,mean_agg_norm,mean_agg_norm_ck,mean_agg_norm_pk
geographic-geopolitic-language,0.8380434782608696,0.8372804419590447,920,417.0,43.0,106.0,354.0,0.9065217391304348,0.7695652173913043,0.4315217391304348,0.6414548754692078,0.19871823489665985,0.2490779608488083,0.1550823599100113,0.9522751569747925,0.9532431364059448,0.9513071179389954
corporate-products-employment,0.51,0.3710691823899371,100,2.0,48.0,1.0,49.0,0.04,0.98,0.97,0.8978483080863953,0.11017782241106033,0.7295095324516296,0.12573599815368652,0.9559549689292908,0.9553840160369873,0.956525981426239
media,0.8125,0.8117647058823529,16,6.0,2.0,1.0,7.0,0.75,0.875,0.5625,0.6827803254127502,0.13287948071956635,0.39165812730789185,0.12874190509319305,0.9513530731201172,0.9519271850585938,0.9507790803909302
religion,,,0,,,,,,,,,,,,,,
hierarchy,,,0,,,,,,,,,,,,,,
naming-reference,,,0,,,,,,,,,,,,,,
