relation_group_id,accuracy,macro_f1,nb_test_examples,tn,fp,fn,tp,recall_pk,recall_ck,pct_predicted_ck,mean_conf_ck,std_conf_ck,mean_conf_pk,std_conf_pk,mean_agg_norm,mean_agg_norm_ck,mean_agg_norm_pk
geographic-geopolitic-language,0.7679245283018868,0.7631822722731814,530,241.0,24.0,99.0,166.0,0.909433962264151,0.6264150943396226,0.3584905660377358,0.5466834306716919,0.23497901856899261,0.2313382923603058,0.164640411734581,0.9442771077156067,0.9451133012771606,0.9434409141540527
corporate-products-employment,0.5961538461538461,0.5478260869565217,52,7.0,19.0,2.0,24.0,0.2692307692307692,0.9230769230769231,0.8269230769230769,0.8628014922142029,0.15271726250648499,0.6863873600959778,0.23862527310848236,0.9501597285270691,0.9508147835731506,0.949504554271698
religion,,,0,,,,,,,,,,,,,,
media,0.88,0.88,50,22.0,3.0,3.0,22.0,0.88,0.88,0.5,0.7235236167907715,0.15509727597236633,0.3709997236728668,0.12276141345500946,0.946321427822113,0.9483489990234375,0.9442937970161438
hierarchy,,,0,,,,,,,,,,,,,,
occupy-position,1.0,1.0,16,8.0,0.0,0.0,8.0,1.0,1.0,0.5,0.7737001776695251,0.06443294882774353,0.29999303817749023,0.13273678719997406,0.951302707195282,0.9522928595542908,0.950312614440918
play-instrument,0.9,0.898989898989899,20,10.0,0.0,2.0,8.0,1.0,0.8,0.4,0.5992492437362671,0.13129562139511108,0.3286263346672058,0.05229955539107323,0.9500052332878113,0.9503862261772156,0.949624240398407
