relation_group_id,accuracy,macro_f1,nb_test_examples,tn,fp,fn,tp,recall_pk,recall_ck,pct_predicted_ck,mean_conf_ck,std_conf_ck,mean_conf_pk,std_conf_pk,mean_agg_norm,mean_agg_norm_ck,mean_agg_norm_pk
geographic-geopolitic-language,0.8921568627450981,0.8908878731887582,102,51,0,11,40,1.0,0.7843137254901961,0.39215686274509803,0.6097094416618347,0.17736417055130005,0.25938138365745544,0.1021394282579422,0.9520490169525146,0.9523453712463379,0.951752781867981
corporate-products-employment,0.5,0.3333333333333333,6,0,3,0,3,0.0,1.0,1.0,0.9726205468177795,0.008393621072173119,0.7329354286193848,0.09936557710170746,0.9575328230857849,0.9536755681037903,0.9613900780677795
