relation_group_id,accuracy,macro_f1,nb_test_examples,tn,fp,fn,tp,recall_pk,recall_ck,pct_predicted_ck,mean_conf_ck,std_conf_ck,mean_conf_pk,std_conf_pk,mean_agg_norm,mean_agg_norm_ck,mean_agg_norm_pk
geographic-geopolitic-language,0.8118169398907104,0.8116728143633729,2928,1229.0,235.0,316.0,1148.0,0.8394808743169399,0.7841530054644809,0.4723360655737705,0.67792809009552,0.2140381932258606,0.29572319984436035,0.19512581825256348,0.9929013848304749,0.9930054545402527,0.9927972555160522
corporate-products-employment,0.6671875,0.6331292471237301,640,116.0,204.0,9.0,311.0,0.3625,0.971875,0.8046875,0.8626194000244141,0.1342960149049759,0.550527036190033,0.2149435132741928,0.9939853549003601,0.9943057894706726,0.9936650395393372
religion,0.8413461538461539,0.8411662617146825,208,84.0,20.0,13.0,91.0,0.8076923076923077,0.875,0.5336538461538461,0.728679895401001,0.17983660101890564,0.30777686834335327,0.1934712678194046,0.9923220276832581,0.992661714553833,0.9919823408126831
media,0.8876404494382022,0.8876262626262625,178,80.0,9.0,11.0,78.0,0.898876404494382,0.8764044943820225,0.4887640449438202,0.7283350229263306,0.19493457674980164,0.19362850487232208,0.18549491465091705,0.9929541349411011,0.9933030009269714,0.9926052093505859
hierarchy,0.782608695652174,0.7718253968253967,46,23.0,0.0,10.0,13.0,1.0,0.5652173913043478,0.2826086956521739,0.6008098721504211,0.274929016828537,0.18447180092334747,0.09305856376886368,0.9929799437522888,0.9934226870536804,0.9925369620323181
occupy-position,0.8382352941176471,0.8376736111111112,136,61.0,7.0,15.0,53.0,0.8970588235294118,0.7794117647058824,0.4411764705882353,0.6389209032058716,0.17666558921337128,0.32284969091415405,0.1257898211479187,0.9928382635116577,0.9930033087730408,0.9926733374595642
naming-reference,,,0,,,,,,,,,,,,,,
play-instrument,0.45,0.3103448275862069,20,0.0,10.0,1.0,9.0,0.0,0.9,0.95,0.7862975597381592,0.14638490974903107,0.6848448514938354,0.07111778855323792,0.993766188621521,0.9938753843307495,0.993657112121582
